,parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock
450127,11517388.00,1,,,3,3,,4,3,,,2063,2063,,,,,6037,,3,,,,2,33990493,-118392418,525396,1,,,,1,010C,266,CC-R3,60377030.01,51617,3101,762186,96095,0,,,,1,,,1992,,,240092,345549,2015,105457,4213.58,,,6.0377E+13
489958,17231462.00,,,,4.5,5,,,4.5,,2073,4002,4002,,,2073,,6111,1,4,2,711,,,34300944,-118702605,13701,,,,,,1111,261,,61110084.02,27110,2061,,97116,10,,1,,,625,,2004,2,,401000,1147000,2015,746000,12711.32,,,6.11101E+13
866354,11500491.00,1,,,4,5,,1,4,,,3614,3614,,,,,6037,,4,,,,2,33879096,-118390596,5036,,,,,,100,261,MNRS,60376208,19177,3101,,96117,0,,,,1,,,1997,,,578738,1206749,2015,628011,13708.83,,,6.03762E+13
114324,13094519.00,,,,2,3,,7,2,,,1490,1490,,,,,6037,,2,,,,2,34038463,-117926837,8380,,,,,,100,261,LCR106,60374079,118694,3101,,96488,0,,,,1,,,1963,,,42607,57477,2015,14870,1004.21,,,6.03741E+13
684971,17222033.00,,,,2.5,4,,,2.5,,1059,2063,2063,,,1059,,6111,1,2,2,452,,,34248287,-118800599,7623,,,,,,1111,261,,61110075.07,27110,2061,,97118,7,,1,,,,,1986,2,,247083,494166,2015,247083,5721.24,,,6.11101E+13
409345,12497712.00,,,,1,3,,7,1,,,1438,1438,,,,,6037,,1,,,,7,33805370,-118197480,5989,,,,,,100,261,LBR1N,60375722.02,46298,3101,276157,96240,0,,,,1,,,1929,,,80491,163739,2015,83248,2044.82,,,6.03757E+13
457643,14138782.00,,,,2,2,,,2,,,952,952,,,,,6059,,2,1,360,,,33913550,-117903387,5900,,,,,,122,261,,60590015.03,17150,1286,,97035,4,,,,,,,1922,1,,22883,225071,2015,202188,2782.98,,,6.059E+13
675127,12045751.00,,,,2,4,,7,2,,,1460,,,1460,,,6037,,2,,,,,34212255,-118236176,5588,,,,,,200,246,GLR2*,60373006,45457,3101,274582,96275,0,,,,2,,,1952,,,68951,307164,2015,238213,7562.5,,,6.0373E+13
413337,14194461.00,,,,3.5,4,,,3.5,,,3048,3048,,,,,6059,,3,2,650,,,33876598,-117780021,10000,,,,,,122,261,,60590218.29,21412,1286,,97079,0,,1,,,,,1998,,,395649,644512,2015,248863,8112.86,,,6.05902E+13
516487,13980828.00,,,,2,3,,,2,,,2026,2026,,,,,6059,,2,2,462,,,33631730,-117895403,10080,,,,,,122,261,,60590630.1,53571,1286,,96978,6,,,,,,,1961,1,,85039,148131,2015,63092,1852.18,,,6.05906E+13
436102,11700199.00,,,,1,2,,7,1,,,1668,1668,,,,,6037,,1,,,,7,34002522,-118340542,11690,,,,,,100,261,LCR1*,60377032,396550,3101,,95989,0,,,,1,,,1946,,,98523,234058,2015,135535,3394.77,,,6.0377E+13
784096,13984348.00,,,,2,3,,,2,,,1404,1404,,,,,6059,,2,2,483,,,33460695,-117664515,5760,,,,,,122,261,,60590422.01,,1286,,96956,7,,,,,,,1970,2,,50866,81684,2015,30818,1851.12,,,6.05904E+13
489214,14747698.00,,,,1,1,,,1,,,733,733,,,,,6059,,1,,,,,33712000,-118038000,,,,,,,34,266,,60590994.17,25218,1286,,96967,0,,,,,,,1983,,,80650,163697,2015,83047,2128.5,,,6.0591E+13
83186,12780746.00,,,,1,3,,7,1,,,1219,1219,,,,,6037,,1,,,,7,33992868,-118061913,5804,,,,,,100,261,WHR1YY,60375013.01,14634,3101,,96174,0,,,,1,,,1939,,,95629,269240,2015,173611,3572.33,,,6.0375E+13
460654,12592512.00,1,,,3,3,,1,3,,,1650,1650,,,,,6037,,3,,,,2,33822524,-118302345,,,,,,,012C,266,LARD2,60372932.02,12447,3101,273930,96159,0,,,,1,,,2009,,,212548,481053,2015,268505,6138.57,,,6.03729E+13
71223,14218549.00,,,,3,3,,,3,,,2436,2436,,,,,6059,,3,2,597,TRUE,,33838296,-117762738,5525,,,1,,,122,261,,60590219.2,16764,1286,113455,97026,8,,,,,,,1977,2,,202376,644735,2015,442359,7036.72,,,6.05902E+13
499869,12862451.00,1,,,3,3,,4,3,,,1199,1199,,,,,6037,,3,,,,2,33990394,-117937653,47738,1,,,,1,010C,266,LCRPD60002,60374086.28,45602,3101,,96489,0,,,,1,,,1979,,,202540,343251,2015,140711,4207.98,,,6.03741E+13
461808,17227828.00,,,,2.5,4,,,2.5,,3027,3027,3027,,,3027,,6111,3,2,3,742,,,34285805,-118728425,13068,1,450,,,1,1110,261,,61110085,27110,2061,,97116,9,,1,,,,,1990,1,,343443,735091,2015,391648,8226.46,,,6.11101E+13
883752,12165705.00,,,,1,3,,7,1,,,1326,1326,,,,,6037,,1,,,,7,34173931,-118140406,6163,,,,,,100,261,PSR6,60374615.01,47019,3101,274695,96292,0,,,,1,,,1925,,,26087,42585,2015,16498,725.89,,,6.03746E+13
135826,10919672.00,1,,,3,3,,7,3,,,1602,1602,,,,,6037,,3,,,,2,34215644,-118334313,349660,1,,,,1,010C,266,LARD4,60371021.04,396054,3101,,96436,0,,,,1,,,1978,,,171396,418039,2015,246643,5220.67,,,6.0371E+13
64999,11947013.00,,,,1,2,,7,1,,,1323,1323,,,,,6037,,1,,,,7,34101725,-118271185,4277,,,,,,100,261,LAR1,60371951,12447,3101,268473,96020,0,,,,1,,,1938,,,92863,344095,2015,251232,4284.97,,,6.0372E+13
996572,14354814.00,,,,4.5,4,,,4.5,,,3866,3866,,,,,6059,,4,2,525,,,33691675,-117749427,5559,,,,,,1,261,,60590524.18,52650,1286,403197,96954,0,,1,,,,,2014,,,790348,1767583,2015,977235,22849.36,,,
514261,12729140.00,,,,2,3,,7,2,,,1176,1176,,,,,6037,,2,,,,7,33927280,-118029747,6940,,,,,,100,261,LCR1YY,60375031.05,118225,3101,,96172,0,,,,1,,,1953,,,55714,278581,2015,222867,3704.96,,,6.0375E+13
425322,12764749.00,,,,2,6,,7,2,,,2027,,,2027,,,6037,,2,,,,,34058747,-118035588,6873,,,,,,200,246,EMR3YY,60374334.02,51861,3101,,96480,0,,,,2,,,1938,,,21190,42994,2015,21804,952.06,,,6.03743E+13
378753,12310821.00,,,,2,4,,7,2,,,1371,1371,,,,,6037,,2,,,,7,33947970,-118192115,7156,,,,,,100,261,SGR1*,60375359.01,47762,3101,,96125,0,,,,1,,,1941,,,165236,387591,2015,222355,5100.63,Y,14,6.03754E+13
324464,14331471.00,,,,2.5,3,,,2.5,,,1677,1677,,,,,6059,,2,2,438,,,33732267,-117796081,2106,,,,,,122,261,,60590525.24,27491,1286,,97018,0,,1,,,,,1989,,,179549,588528,2015,408979,7074.64,,,6.05905E+13
868110,11967043.00,,,,1,2,,7,1,,,656,656,,,,,6037,,1,,,,7,34110618,-118202251,3149,,,,,,100,261,LAR1,60371835.2,12447,3101,115609,96023,0,,,,1,,,1906,,,47314,236591,2015,189277,2946,,,6.03718E+13
200419,12386547.00,1,,,2,4,,4,2,,,2111,2111,,,,,6037,,2,,,,2,33969263,-118122311,10603,,,,,,100,261,DOR16000*,60375507,4406,3101,,96100,0,,,,1,,,1987,,,216632,234399,2015,17767,3055.33,,,6.03755E+13
114073,13028750.00,1,,,2,2,,4,2,,,930,930,,,,,6037,,2,,,,2,34107700,-117886000,134197,,,,,,010C,266,LCR320UDP*,60374040,24245,3101,,96473,0,,,,1,,,1980,,,80714,100885,2015,20171,1468.25,,,6.0374E+13
268612,17256134.00,,,,2,4,,,2,,1323,1323,1323,,,1323,,6111,,2,2,504,,,34265112,-118743676,7700,,,,,,1111,261,,61110080.04,27110,2061,,97118,6,,,,,493,,1963,1,,176771,294615,2015,117844,3506.9,,,6.11101E+13
1000712,11581638.00,1,,,3,3,,1,3,,,1572,1572,,,,,6037,,3,,,,2,34033700,-118492000,7476,,,,,,010C,266,SMR2*,60377012.02,26964,3101,,96150,0,,,,1,,,1990,,,270134,687346,2015,417212,8470.28,,,6.0377E+13
144341,13907572.00,,,,2,3,,,2,,,1171,1171,,,,,6059,,2,1,396,,,33842773,-117981120,6335,,,,,,122,261,,60590868.01,10608,1286,,96180,6,,,,,,,1955,1,,56877,201939,2015,145062,2601.86,,,6.05909E+13
392525,12040491.00,,,,2,3,,4,2,,,1875,1875,,,,,6037,,2,,,,2,34242934,-118248610,7692,1,,,,1,101,261,GLR1YY,60373003.01,45457,3101,273400,96330,0,,,,1,,,1961,,,155219,429143,2015,273924,4774.91,,,6.0373E+13
958146,12164233.00,,,,3,5,,7,3,,,2394,,,2394,,,6037,,3,,,,,34176530,-118151769,10023,,,,,,300,247,PSR1,60374609,47019,3101,274695,96291,0,,,,3,,,1924,,,227133,566651,2015,339518,7004.91,,,6.03746E+13
667025,14473269.00,13,,,2,2,,,2,,,1425,1425,,,,,6059,1,2,2,458,,,33594180,-117666019,10084,,,,,,122,261,,60590320.12,12773,1286,,96995,6,,,,,,,1966,1,,118064,245563,2015,127499,2515.4,,,6.05903E+13
965703,11840855.00,1,,,2,2,,,2,,,855,855,,,,,6037,,2,,,,2,34065000,-118119000,32991,,,,,,010C,266,MPR3YY,60374817.11,6021,3101,,96497,0,,,,1,,,2003,,,190459,272081,2015,81622,3597.86,,,6.03748E+13
772465,11349007.00,1,,,3,4,,4,3,,,2829,2829,,,,,6037,,3,,,,2,34480127,-118520098,7099,1,,,,1,101,261,SCUR1,60379200.15,,3101,,96403,0,,,,1,,,2005,,,314100,644500,2015,330400,8904.08,,,6.03792E+13
871557,12823933.00,,,,1,3,,7,1,,,1005,1005,,,,,6037,,1,,,,7,33940235,-118009653,6186,,,,,,100,261,LCR1YY,60375035.01,118225,3101,,96172,0,,,,1,,,1950,,,95027,202630,2015,107603,2630.51,,,6.0375E+13
521913,10772679.00,1,,,3,4,,4,3,,,1593,1593,,,,,6037,,3,,,,2,34206042,-118570977,139726,1,,,,1,010C,266,LARD1.5,60371347.2,12447,3101,27987,96341,0,,,,1,,,1977,,,128160,186795,2015,58635,2349.63,,,6.03713E+13
786465,14694041.00,,,,2,2,,,2,,,1146,1146,,,,,6059,,2,2,0,,,33725143,-118073576,,,,,,,34,266,,60590995.13,25218,1286,,96967,0,,,,,,,1978,,,106578,589150,2015,482572,6223.62,,,6.0591E+13
98437,12861010.00,1,,,3,3,,4,3,,,1694,1694,,,,,6037,,3,,,,2,33999500,-117815767,89635,,,,,,010C,266,LCRPD80009,60374033.23,24384,3101,,96505,0,,,,1,,,1987,,,170000,508000,2015,338000,6344.98,,,6.0374E+13
755763,14339901.00,,,,3.5,5,,,3.5,,,2657,2657,,,,,6059,,3,2,521,,,33753580,-117766284,6300,,,,,,122,261,,60590524.19,27491,1286,,97018,0,,1,,,,,1994,,,348568,667214,2015,318646,8087.38,,,6.05905E+13
144745,14005910.00,,,,2.5,4,,,2.5,,,3731,3731,,,,,6059,,2,3,780,,,33801150,-117972213,11040,1,,,,1,122,261,,60590880.02,24832,1286,,97048,8,,1,,,,,1982,1,,174138,204959,2015,30821,2695.04,,,6.05909E+13
357699,17235025.00,,,,2,3,,,2,,1202,1202,1202,,,1202,,6111,,2,2,400,,,34276358,-118713159,7140,,,,,,1111,261,,61110082.01,27110,2061,,97116,5,,,,,,,1959,1,,39045,54431,2015,15386,1007.02,,,6.11101E+13
919990,14614057.00,,,,2,2,,,2,,,1344,1344,,,,,6059,,2,2,0,,,33649463,-117584239,,,,,,,34,266,,60590320.51,15554,1286,,96993,0,,,,,,,1990,,,147124,426401,2015,279277,5602.88,,,6.05903E+13
1019063,12547249.00,,,,2,2,,4,2,,,1065,1065,,,,,6037,,2,,,,7,33766100,-118178000,16472,,,,,,010H,266,LBR4R,60375766.01,46298,3101,416302,96236,0,,,,1,,,1959,,,92863,126202,2015,33339,4004.39,,,6.03758E+13
878529,17304518.00,,,,0,0,,,,,,2160,2160,,,,,6111,,,,,,,34271509,-119198232,,,,,,,1118,263,,61110015.03,34543,2061,,97083,0,,,,,,,1973,,,,,2015,,,,,6.111E+13
519513,11136914.00,1,,,3,3,,4,3,,,1659,1659,,,,,6037,,3,,,,2,34412023,-118581721,95983,,,,,,010C,266,,60379203.39,,3101,,96395,0,,,,1,,,2004,,,260000,432000,2015,172000,6151.94,,,6.03792E+13
759225,17238272.00,,,,2,3,,,2,,1244,1244,1244,,,1244,,6111,,2,2,462,,,34267640,-118725240,8400,,,,,,1111,261,,61110080.02,27110,2061,,97116,5,,,,,,,1961,1,,166497,332994,2015,166497,3919.46,,,6.11101E+13
391638,11811250.00,,,,1,2,,7,1,,,1003,1003,,,,,6037,,1,,,,7,34078286,-118194416,4210,,,,,,100,261,LAR1,60371991.1,12447,3101,268316,96013,0,,,,1,,,1923,,,13439,19533,2015,6094,260.48,,,6.0372E+13
867412,11790533.00,,,,1,2,,4,1,,,1976,1976,,,,,6037,,1,,,,7,34069692,-118282979,4800,,,,,,100,261,LARD1.5,60372086.1,12447,3101,276023,96038,0,,,,1,,,1912,,,100162,500810,2015,400648,6257.59,,,6.03721E+13
471399,13884417.00,,,,1,3,,,1,,,1690,1690,,,,,6059,,1,1,304,,,33790337,-117852534,7841,,,,,,1,261,,60590759.01,33252,1286,,97064,0,,,,,,,1908,1,,47312,968981,2015,921669,11662.42,,,6.05908E+13
442636,14077155.00,,,,2,3,,,2,,,2027,2027,,,,,6059,,2,2,489,,,33710980,-117937687,6435,1,,,,1,122,261,,60590992.29,8384,1286,,97008,8,,,,,,,1967,2,,67393,91582,2015,24189,1257.16,,,6.0591E+13
202815,12953224.00,1,,,3,4,,7,3,,,1978,1978,,,,,6037,,3,,,,2,34055373,-117929304,8891,,,,,,100,261,WCR1YY,60374066.02,14542,3101,,96523,0,,,,1,,,1955,,,212050,431102,2015,219052,5124.83,,,6.03741E+13
701857,11104311.00,1,,,3,4,,4,3,,,1900,1900,,,,,6037,,3,,,,2,34435267,-118473444,4294,,,,,,010D,269,SCUR2,60379200.34,54311,3101,37739,96374,0,,,,1,,,1985,,,208677,443619,2015,234942,6003.59,,,6.03792E+13
132761,14529242.00,,,,0,0,,,,,,,,,,,,6059,,,,,,,33638700,-117711000,,,,,,,0,263,,60590524.1,32380,1286,,96962,0,,,,,,,,,,9047,9047,2015,,92.9,,,6.05905E+13
284663,10964798.00,1,,,3,3,,7,3,,,1383,1383,,,,,6037,,3,,,,2,34318300,-118445000,75603,,,,,,010C,266,LARD3,60371064.05,12447,3101,34213,96368,0,,,,1,,,1987,,,126770,243415,2015,116645,3012.67,,,6.03711E+13
456854,13941488.00,,,,1,1,,,1,,,561,,,,,561,6059,,1,,,,,33756428,-118003354,10977,,,,,,122,261,,60590996.01,34780,1286,,96990,3,,,,,,,1940,1,,57289,344168,2015,286879,4805.38,,,6.0591E+13
542107,12230801.00,,,,1,2,,7,1,,,522,522,,,,,6037,,1,,,,7,33931091,-118228978,6254,,,,,,100,261,LCR2YY,60375404,,3101,,96040,0,,,,1,,,1922,,,43000,185000,2015,142000,3928.94,,,6.03754E+13
64465,11817126.00,,,,2,3,,7,2,,,1188,1188,,,,,6037,,2,,,,7,34087607,-118169233,7120,,,,,,100,261,LARD3,60372015.01,12447,3101,114914,96013,0,,,,1,,,1941,,,47969,239849,2015,191880,3023.75,,,6.0372E+13
598240,11305453.00,1,,,2,3,,4,2,,,2354,2354,,,,,6037,,2,,,,2,34683640,-118196646,7100,,,,,,100,261,LRR7000*,60379010.04,5534,3101,,97319,0,,,,1,,,2003,,,209900,270000,2015,60100,4048.51,,,6.0379E+13
168585,11823392.00,,,,1,2,,7,1,,,840,840,,,,,6037,,1,,,,7,34052803,-118191808,5978,,,,,,100,261,LAR1,60372032,17882,3101,,96044,0,,,,1,,,1950,,,56789,160469,2015,103680,2063.7,,,6.0372E+13
1024040,14604659.00,,,,2,2,,,2,,,1126,1126,,,,,6059,,2,1,0,,,33851994,-117738925,,,,,,,34,266,,60590219.22,16764,1286,113455,97027,0,,,,,,,1995,,,62322,94430,2015,32108,1258.7,,,6.05902E+13
59844,17085446.00,,,,1.5,2,,,1.5,,493,1046,1046,,,493,,6111,,1,1,0,,,34263000,-119268000,2178,,,,,,1129,266,,61110025,34543,2061,,97081,4,,1,,,,,1972,2,,101076,134757,2015,33681,1491.26,,,6.111E+13
562571,14370178.00,,,,2.5,3,,,2.5,,,1419,1419,,,,,6059,1,2,2,422,,,33650940,-117677390,3750,,,,,,122,261,,60590524.25,32380,1286,,96962,0,,1,,,,,1987,,,120995,273923,2015,152928,2927.66,,,6.05905E+13
776659,11337024.00,1,,,2,3,,4,2,,,1735,1735,,,,,6037,,2,,,,2,34463946,-118417750,99801,,,,,,100,261,LCA11*,60379200.26,,3101,,96403,0,,,,1,,,1983,,,136447,341118,2015,204671,4287.77,,,6.03792E+13
1024099,14623726.00,,,,2.5,2,,,2.5,,,1415,1415,,,,,6059,,2,2,0,,,33552211,-117728286,4792,,,,,,34,266,,60590626.39,37086,1286,,96974,0,,1,,,,,1994,,,177942,271127,2015,93185,2681.56,,,6.05906E+13
830364,14387597.00,,,,2.5,3,,,2.5,,,2074,2074,,,,,6059,1,2,2,485,,,33588879,-117689907,5168,1,,,,1,122,261,,60590423.27,25458,1286,,96971,7,,1,,,,,1978,2,,123354,228516,2015,105162,2337.06,,,6.05904E+13
405840,11618135.00,1,,,2,1,,4,2,,,790,790,,,,,6037,,2,,,,2,34053800,-118438000,17694,,,,,,010E,266,LARD1.5,60372655.2,12447,3101,118920,96005,0,,,,1,,,1972,,,101763,181573,2015,79810,2283.05,,,6.03727E+13
416141,14167458.00,,,,3,5,,,3,,,2538,2538,,,,,6059,1,3,2,400,,,33892321,-117838352,9130,,,,,,122,261,,60590218.09,21412,1286,,97078,9,,,,,,,1962,2,,143941,257522,2015,113581,3266.9,,,6.05902E+13
676944,12486823.00,,,,1,2,,7,1,,,888,888,,,,,6037,,1,,,,7,33849557,-118112768,5500,,,,,,100,261,LKR1YY,60375709.02,12292,3101,,96213,0,,,,1,,,1951,,,63499,207244,2015,143745,2758.28,,,6.03757E+13
961254,12901623.00,1,,,3,3,,4,3,,,1320,1320,,,,,6037,,3,,,,2,34100440,-117802962,1678,1,,,,1,010D,269,SDSF10000-,60374003.04,33836,3101,,96513,0,,,,1,,,1981,,,220066,327574,2015,107508,4141.41,,,6.0374E+13
782862,12957890.00,,,,1,2,,7,1,,,896,896,,,,,6037,,1,,,,7,34149301,-118006323,5969,,,,,,100,261,MORM*,60374310.01,32923,3101,,96273,0,,,,1,,,1924,,,12212,25038,2015,12826,642.35,,,6.03743E+13
228336,11890285.00,1,,,2,3,,7,2,,,1780,1780,,,,,6037,,2,,,,2,34139551,-118105588,6114,,,,,,100,261,LCR1YY,60374633,,3101,,96295,0,,,,1,,,1928,,,341397,662791,2015,321394,8437.99,,,6.03746E+13
707964,12773137.00,,,,2,4,,7,2,,,1302,1302,,,,,6037,,2,,,,7,34041136,-118038400,5469,,,,,,100,261,SER1*,60374338.02,36502,3101,,96480,0,,,,1,,,1954,,,34691,50985,2015,16294,913.18,,,6.03743E+13
167696,11557992.00,,,,2,2,,,2,,,1280,1280,,,,,6037,,2,,,,2,34022677,-118409544,4825,,,,,,100,261,LAC2,60372718.02,12447,3101,117183,96015,0,,,,1,,,1947,,,40258,168370,2015,128112,2292.36,,,6.03727E+13
171255,12507347.00,1,,,2,2,,4,2,,,1171,1171,,,,,6037,,2,,,,2,33795800,-118167000,70849,1,,,,1,010C,266,SHR4*,60375734.03,27103,3101,,96234,0,,,,1,,,1982,,,114313,142951,2015,28638,2012.09,,,6.03757E+13
1015735,11682542.00,,,,0,0,,,,,,,,,,,,6037,,,,,,,34046722,-118741176,6179,,,,,,100,261,LCA11*,60378004.1,12520,3101,,96116,0,,,,,,,,,,,91351,2015,91351,1611.82,,,6.0378E+13
388739,10942456.00,,,,2,3,,7,2,,,1562,1562,,,,,6037,,2,,,,7,34182110,-118325276,5739,1,,,,1,101,261,BUR1YY,60373109,396054,3101,,96438,0,,,,1,,,1948,,,41793,78690,2015,36897,915.48,,,6.03731E+13
956478,11715354.00,,,,3,4,,7,3,,,1819,1819,,,,,6037,,3,,,,2,34017074,-118325855,5980,,,,,,100,261,LAR1,60372340,12447,3101,274293,95989,0,,,,1,,,1941,,,91089,214981,2015,123892,2730.1,,,6.03723E+13
785528,14349010.00,,,,3,5,,,3,,,2600,2600,,,,,6059,,3,2,414,,,33725542,-117755787,6210,,,,,,122,261,,60590524.2,52650,1286,274815,96954,0,,,,,,,1997,,,285262,468989,2015,183727,6362.1,,,6.05905E+13
244415,12201696.00,,,,1,2,,7,1,,,620,620,,,,,6037,,1,,,,7,33960797,-118254072,5400,,,,,,100,261,LCR3*,60375351.01,396053,3101,,95982,0,,,,1,,,1927,,,21459,33473,2015,12014,989.96,,,6.03754E+13
757429,11114774.00,1,,,3,4,,4,3,,,2859,2859,,,,,6037,,3,,,,2,34445154,-118565971,6613,,,,,,100,261,SCSP,60379201.08,54311,3101,48200,96378,0,,,,1,,,2003,,,334000,644000,2015,310000,9128.19,,,6.03792E+13
851243,11392735.00,,,,1,2,,7,1,,,846,846,,,,,6037,,1,,,,7,33975385,-118332442,5040,,,,,,100,261,LAR3,60372352.02,12447,3101,115729,96024,0,,,,1,,,1940,,,63365,204061,2015,140696,2539.8,,,6.03724E+13
102164,14629257.00,,,,1,2,,,1,,,798,798,,,,,6059,,1,1,0,,24,33496027,-117669551,,,,,,,34,266,,60590423.1,33840,1286,,96985,5,,,,,,,1973,1,,73082,110969,2015,37887,1195.08,,,6.05904E+13
404574,11180544.00,1,,,3,4,,4,3,,,2228,2228,,,,,6037,,3,,,,2,34285318,-118544241,9138,1,,,,1,101,261,LARE9,60371081.01,12447,3101,275078,96356,0,,,,1,,,1977,,,197270,613382,2015,416112,7646.08,,,6.03711E+13
972305,11969885.00,,,,2,0,,7,2,,,1320,,,1320,,,6037,,2,,,,,34125210,-118214951,9407,,,,,,200,246,LAR2,60371834.02,12447,3101,114808,96022,0,,,,2,,,1924,,,27094,210033,2015,182939,2636.32,,,6.03718E+13
1005316,12759709.00,,,,1,2,,7,1,,,775,775,,,,,6037,,1,,,,7,33891251,-118080799,5116,,,,,,100,261,NOR1YY,60375526.01,53636,3101,,96193,0,,,,1,,,1948,,,50864,254334,2015,203470,3385.64,,,6.03755E+13
964096,14368748.00,13,,,2,3,,,2,,,1436,1436,,,,,6059,1,2,2,457,,,33627845,-117685418,8400,,,,,,122,261,,60590320.27,32380,1286,,96962,7,,,,,,,1979,1,,101628,188908,2015,87280,1994.86,,,6.05903E+13
937972,17289670.00,,,,2.5,3,,,2.5,,713,1435,1435,,,713,,6111,1,2,2,0,,,34160348,-118808254,,,,,,,1129,266,,61110074.02,34278,2061,,96385,5,,1,,,,,1988,2,,195582,325968,2015,130386,3561.16,,,6.11101E+13
72588,14670488.00,,,,2.5,3,,,2.5,,,1609,1609,,,,,6059,,2,2,0,,,33597940,-117717361,3695,,,,,,34,266,,60590626.41,37086,1286,,96974,0,,1,,,,,1989,,,134393,345928,2015,211535,3524.82,,,6.05906E+13
504243,14602081.00,,,,3,2,,,3,,,1473,1473,,,,,6059,,3,2,0,,,33639725,-117598195,,,,,,,34,266,,60590320.54,15554,1286,,96993,0,,,,,,,1999,,,182255,252139,2015,69884,3771.5,,,6.05903E+13
827213,12850415.00,1,,,1,2,,4,1,,,758,758,,,,,6037,,1,,,,2,33986500,-117908000,5771,,,,,,010C,266,LCR330U*,60374086.26,22827,3101,,96492,0,,,,1,,,1970,,,59763,99371,2015,39608,1525.08,,,6.03741E+13
915165,12589718.00,,,,2,2,,4,2,,,961,961,,,,,6037,,2,,,,2,33825000,-118289000,181947,,,,,,010E,266,LCM1*,60375435.03,118878,3101,,96160,0,,,,1,,,1985,,,149835,254994,2015,105159,3407.08,,,6.03754E+13
408830,12381893.00,,,,1,3,,7,1,,,1387,1387,,,,,6037,,1,,,,7,33985205,-118119590,7801,,,,,,100,261,MNR1*,60375322,25953,3101,,96192,0,,,,1,,,1946,,,32738,56378,2015,23640,1279.03,,,6.03753E+13
135450,10829444.00,,,,2,2,,4,2,,,1502,1502,,,,,6037,,2,,,,2,34196909,-118452754,6880,,,,,,100,261,LAR1,60371278.03,12447,3101,41466,96414,0,,,,1,,,1956,,,113718,186378,2015,72660,2323.76,,,6.03713E+13
872607,13076668.00,1,,,3,4,,4,3,,,2267,2267,,,,,6037,,3,,,,2,34004127,-117815656,12682,,,,,,100,261,,60374033.19,24384,3101,,96505,0,,,,1,,,1985,,,254628,542276,2015,287648,6468.22,,,6.0374E+13
831677,14352378.00,,,,2.5,3,,,2.5,,,2470,2470,,,,,6059,,2,2,526,,,33735313,-117763243,8182,,,,,,1,261,,60590524.2,52650,1286,403127,96939,0,,1,,,,,2001,,,342514,1015000,2015,672486,13392.58,,,6.05905E+13
417283,17210131.00,,,,2,4,,,2,,1650,1650,1650,,,1650,,6111,,2,2,506,,,34218006,-118871659,10050,,,,,,1110,261,,61110063.02,34278,2061,,96383,7,,,,,,,1971,1,,46522,64842,2015,18320,783.38,,,6.11101E+13
440678,12861801.00,1,,,3,4,,4,3,,,2488,2488,,,,,6037,,3,,,,2,33975298,-117952371,21778,,,,,,100,261,LCRA15000*,60374086.29,45602,3101,,96489,0,,,,1,,,1977,,,175826,293042,2015,117216,3769.32,,,6.03741E+13
925957,11532051.00,,,,3,4,,7,3,,,1696,1696,,,,,6037,,3,,,,7,33992412,-118416666,13096,,,,,,100,261,LAR1,60372755,12447,3101,403184,96095,0,,,,1,,,1950,,,289321,1034773,2015,745452,18488.92,,,6.03728E+13
14186,17142218.00,,,,2,3,,,2,,1281,1281,1281,,,1281,,6111,,2,1,237,,,34224364,-118999246,5781,,,,,,1111,261,,61110053.03,51239,2061,,97091,5,,,,,221,,1979,1,,162000,463000,2015,301000,5023.5,,,6.11101E+13
641055,10822054.00,,,,2,3,,7,2,,,1776,1776,,,,,6037,,2,,,,7,34204957,-118476965,6702,,,,,,100,261,LAR1,60371274,12447,3101,41466,96415,0,,,,1,,,1949,,,190000,390000,2015,200000,5192.47,,,6.03713E+13
116472,14381623.00,,,,3,3,,,3,,,2638,2638,,,,,6059,,3,2,492,,,33598353,-117685350,9120,,,,,,122,261,,60590423.07,25458,1286,,96971,8,,,,,,,1965,2,,80830,103512,2015,22682,1029.4,,,6.05904E+13
736827,12597227.00,,,,1,2,,7,1,,,937,937,,,,,6037,,1,,,,7,33837181,-118331948,4851,,,,,,100,261,TORR-LO,60376504.02,54722,3101,416338,96161,0,,,,1,,,1951,,,153691,539968,2015,386277,6359.43,,,6.03765E+13
456515,13863066.00,,,,4,3,,,4,,,2676,2676,,,,,6059,1,3,1,380,,,33662137,-118001971,2950,,,,,,122,261,,60590993.11,25218,1286,,96966,3,,2,,,,,1989,1,,273483,1252555,2015,979072,14183.48,,,6.0591E+13
